coalition,value,iteration
"(2, 9, 1, 6, 3, 8, 5, 7, 4, 0)",0.3818,0
"(9, 1, 6, 3, 8, 5, 7, 4, 0, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.1883,0
"(2, 1, 6, 3, 8, 5, 7, 4, 0, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.1887,0
"(2, 9, 6, 3, 8, 5, 7, 4, 0, '1_of_1', '2_of_1', '3_of_1', '4_of_1', '5_of_1')",0.1898,0
"(2, 9, 1, 3, 8, 5, 7, 4, 0, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.1601,0
"(2, 9, 1, 6, 8, 5, 7, 4, 0, '1_of_3', '2_of_3', '3_of_3', '4_of_3', '5_of_3')",0.1541,0
"(2, 9, 1, 6, 3, 5, 7, 4, 0, '1_of_8', '2_of_8', '3_of_8', '4_of_8', '5_of_8')",0.1525,0
"(2, 9, 1, 6, 3, 8, 7, 4, 0, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.1222,0
"(2, 9, 1, 6, 3, 8, 5, 4, 0, '1_of_7', '2_of_7', '3_of_7', '4_of_7', '5_of_7')",0.1106,0
"(2, 9, 1, 6, 3, 8, 5, 7, 0, '1_of_4', '2_of_4', '3_of_4', '4_of_4', '5_of_4')",0.1021,0
"(2, 9, 1, 6, 3, 8, 5, 7, 4, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.102,0
"(5, 9, 6, 2, 0, 1, 7, 3, 4, 8)",0.4886,1
"(9, 6, 2, 0, 1, 7, 3, 4, 8, '1_of_5', '2_of_5', '3_of_5', '4_of_5', '5_of_5')",0.5318,1
"(5, 6, 2, 0, 1, 7, 3, 4, 8, '1_of_9', '2_of_9', '3_of_9', '4_of_9', '5_of_9')",0.5378,1
"(5, 9, 2, 0, 1, 7, 3, 4, 8, '1_of_6', '2_of_6', '3_of_6', '4_of_6', '5_of_6')",0.5365,1
"(5, 9, 6, 0, 1, 7, 3, 4, 8, '1_of_2', '2_of_2', '3_of_2', '4_of_2', '5_of_2')",0.5404,1
"(5, 9, 6, 2, 1, 7, 3, 4, 8, '1_of_0', '2_of_0', '3_of_0', '4_of_0', '5_of_0')",0.541,1
